,Nb,Ta,W,YS 25C PRIOR,HV 25C PRIOR,HV 25C PRIOR*,YS T C PRIOR,HV T C PRIOR,YS T-273C PRIOR,HV T-273C PRIOR,YS 25-273C PRIOR,HV 25-273C PRIOR
96,0.35,0,0.65,826.6980891,402.8902077,397.3121662,243.4411227,224.4696001,312.4678296,245.5851421,1125.73527,494.3668613
97,0.4,0,0.6,807.5859888,397.0437408,392.6349927,230.2103787,220.4222633,297.4523917,240.9918604,1108.770706,489.1773342
98,0.45,0,0.55,772.272379,386.2411682,383.9929346,210.2898926,214.328508,274.2658879,233.8990174,1072.620604,478.1188755
99,0.5,0,0.5,723.3985468,371.2904701,372.0323761,185.4759799,206.7378342,244.8938989,224.9140101,1020.126996,462.0608735
100,0.55,0,0.45,663.3089209,352.9088164,357.3270531,157.4935887,198.1779103,211.2347257,214.6175362,953.7138602,441.7448333
101,0.6,0,0.4,594.1546754,331.7542598,340.4034079,128.0129068,189.1596534,175.1343084,203.5742761,875.5024001,417.8196391
102,0.65,0,0.35,517.9785258,308.4516751,321.76134,98.65719734,180.179626,138.413234,192.3411545,787.3904018,390.8658311
103,0.7,0,0.3,436.796351,283.6177274,301.8941819,70.99666857,171.7181611,102.8836656,181.4725193,691.1098696,361.4132364
104,0.75,0,0.25,352.6913829,257.8896858,281.3117487,46.51819679,164.2301,70.34885152,171.5199913,588.2698058,329.954055
105,0.8,0,0.2,267.9441453,231.9651714,260.5721371,26.55134654,158.1221617,42.56741335,163.0215397,480.3838808,296.9513248
106,0.85,0,0.15,185.2438031,206.6668104,240.3334483,12.11439805,153.7058422,21.14191243,156.4673944,368.8655909,262.8374399
107,0.9,0,0.1,108.0950192,183.0666929,221.4533543,3.618890481,151.1070329,7.240887569,152.2150161,254.898449,227.9744414
108,0.95,0,0.05,41.81793328,162.7922708,205.2338166,0.364043811,150.1113624,0.95898649,150.2933578,138.5662011,192.3879477
109,0.05,0.95,0,3.78E-06,150.0000012,195.0000009,6.37E-25,150,4.34E-21,150,0.208204747,150.0636907
110,0.1,0.9,0,4.23E-05,150.0000129,195.0000104,8.64E-21,150,1.38E-17,150,0.387997097,150.1186898
111,0.15,0.85,0,0.000127068,150.0000389,195.0000311,5.91E-19,150,4.99E-16,150,0.529208983,150.1618871
112,0.2,0.8,0,0.000235289,150.000072,195.0000576,5.99E-18,150,3.57E-15,150,0.637816271,150.1951105
113,0.25,0.75,0,0.00033779,150.0001033,195.0000827,2.25E-17,150,1.10E-14,150,0.717995014,150.2196375
114,0.3,0.7,0,0.000412248,150.0001261,195.0001009,4.52E-17,150,2.00E-14,150,0.772805507,150.2364043
115,0.35,0.65,0,0.000446837,150.0001367,195.0001094,5.75E-17,150,2.46E-14,150,0.804642088,150.2461432
116,0.4,0.6,0,0.000439717,150.0001345,195.0001076,5.03E-17,150,2.21E-14,150,0.815488906,150.2494613
117,0.45,0.55,0,0.000396848,150.0001214,195.0000971,3.15E-17,150,1.49E-14,150,0.80707689,150.246888
118,0.5,0.5,0,0.000329222,150.0001007,195.0000806,1.42E-17,150,7.62E-15,150,0.780990604,150.2389081
119,0.55,0.45,0,0.000250002,150.0000765,195.0000612,4.52E-18,150,2.89E-15,150,0.738750437,150.2259867
120,0.6,0.4,0,0.000171891,150.0000526,195.0000421,9.69E-19,150,7.87E-16,150,0.681885378,150.2085914
121,0.65,0.35,0,0.00010495,150.0000321,195.0000257,1.29E-19,150,1.43E-16,150,0.612007898,150.1872156
122,0.7,0.3,0,5.51E-05,150.0000169,195.0000135,9.26E-21,150,1.54E-17,150,0.530902837,150.1624053
123,0.75,0.25,0,2.36E-05,150.0000072,195.0000058,2.88E-22,150,8.17E-19,150,0.440647051,150.1347957
124,0.8,0.2,0,7.48E-06,150.0000023,195.0000018,2.59E-24,150,1.52E-20,150,0.343789813,150.1051667
125,0.85,0.15,0,1.46E-06,150.0000004,195.0000004,3.09E-27,150,5.14E-23,150,0.243660433,150.0745367
126,0.9,0.1,0,1.14E-07,150,195,7.54E-32,150,6.52E-27,150,0.144992438,150.0443538
127,0.95,0.05,0,7.60E-10,150,195,5.48E-41,150,1.25E-34,150,0.055678259,150.0170322
128,0.05,0.05,0.9,535.7413242,313.8853852,326.1083082,139.2944083,192.6107092,183.393903,206.1009186,752.8339389,380.2948727
129,0.05,0.1,0.85,670.4516136,355.0937943,359.0750354,193.280263,209.1251952,249.1626019,226.2198232,917.8822974,430.7838169
130,0.05,0.15,0.8,763.3886855,383.5236113,381.8188891,231.837976,220.9201517,295.7069708,240.4579293,1031.46149,465.52814
131,0.05,0.2,0.75,823.9911237,402.0621363,396.6497091,256.6179404,228.5004406,325.6365751,249.6135133,1106.294172,488.4197529
132,0.05,0.25,0.7,858.2593868,412.5449333,405.0359466,269.3850667,232.4059549,341.2930187,254.4028812,1150.033278,501.7997178
133,0.05,0.3,0.65,870.4759158,416.2820177,408.0256141,271.8233586,233.1518381,344.7426027,255.4581226,1167.913025,507.269203
134,0.05,0.35,0.6,863.9265525,414.2785416,406.4228333,265.507075,231.219662,337.8309359,253.3438164,1163.806786,506.0130884
135,0.05,0.4,0.55,841.2603677,407.3448662,400.875893,251.9099086,227.0602351,322.2349613,248.5729463,1140.73383,498.9549802
136,0.05,0.45,0.5,804.6910404,396.1581647,391.9265318,232.4227574,221.0990387,299.5053926,241.6198815,1101.131673,486.8405241
137,0.05,0.5,0.45,756.1192145,381.2998515,380.0398812,208.3725184,213.7419756,271.1013147,232.930962,1047.013068,470.2854291
138,0.05,0.55,0.4,697.2113468,363.2797023,365.6237618,181.040177,205.3809046,238.4197099,222.9335301,980.0583628,449.8037206
139,0.05,0.6,0.35,629.4523023,342.5519432,349.0415545,151.6782446,196.3989736,202.8225412,212.0442157,901.6654023,425.8230047
140,0.05,0.65,0.3,554.1800658,319.525869,330.6206952,121.5283228,187.1759935,165.664103,200.6773029,812.9636126,398.6887772
141,0.05,0.7,0.25,472.6053061,294.5718281,310.6574625,91.84024571,178.0942936,128.3222401,189.2542796,714.7849758,368.6555448
142,0.05,0.75,0.2,385.8123894,268.0215324,289.4172259,63.89570073,169.545947,92.23988745,178.2165456,607.5603646,335.8551131
143,0.05,0.8,0.15,294.7258768,240.1578088,267.126247,39.04338933,161.9435269,58.99204553,168.0458995,491.0433503,300.2120986
