,Fe,Ni,Cr,Composition,VEC mean,VEC_condition,EQ 1000C AL3TI_D022,EQ 1000C ALTI3_D019,EQ 1000C ALTI_L10,EQ 1000C BCC_B2,EQ 1000C BCC_B2#2,EQ 1000C BCT_A5,EQ 1000C C14_LAVES,EQ 1000C C15_LAVES,EQ 1000C C36_LAVES,EQ 1000C CBCC_A12,EQ 1000C CHI_A12,EQ 1000C CR3SI_A15,EQ 1000C CRNI2_OP6,EQ 1000C CRSI2_C40,EQ 1000C CU3SN_HT_GAMMA,EQ 1000C CU6SN5_HT,EQ 1000C CUB_A13,EQ 1000C CUTI_B11,EQ 1000C FCC_L12,EQ 1000C GAMMA_D83,EQ 1000C HCP_A3,EQ 1000C HEUSLER_L21,EQ 1000C LIQUID,EQ 1000C M5SI3_D88,EQ 1000C MNNI2,EQ 1000C MNNI_L10,EQ 1000C MOSI2_C11B,EQ 1000C MU_PHASE,EQ 1000C NI3TA_D0A,EQ 1000C NI3TI_D024,EQ 1000C NITI2,EQ 1000C NIZN_TP2,EQ 1000C SIGMA,EQ FCC SUM,EQ BCC SUM,EQ FCC/BCC SUM,EQ 1000C AL5FE4_D82,EQ 1000C ALCU_EPS_B82
1111,0.383838384,0.575757576,0.04040404,Cr4Fe38Ni57,9.070707071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489066,489055,1336139,0,0
1112,0.38,0.6,0.02,Cr2Fe38Ni60,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131048,131038,358017,0,0
1113,0.404040404,0.02020202,0.575757576,Cr57Fe40Ni2,6.888888889,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35108,35117,95930,0,0
1114,0.4,0.04,0.56,Cr56Fe40Ni4,6.96,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9404,9412,25704,0,0
1115,0.4,0.06,0.54,Cr54Fe40Ni6,7.04,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517,2524,6887,0,0
1116,0.4,0.08,0.52,Cr52Fe40Ni8,7.12,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,678,1845,0,0
1117,0.4,0.1,0.5,Cr50Fe40Ni10,7.2,0.5,0,0,0,0.932782776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067217224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.3360861,182.6639139,494,0,0
1118,0.4,0.12,0.48,Cr48Fe40Ni12,7.28,0.5,0,0,0,0.809648851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190351149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7614046,49.2385954,132,0,0
1119,0.4,0.14,0.46,Cr46Fe40Ni14,7.36,0.5,0,0,0,0.69260128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30739872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92219616,13.07780384,35,0,0
1120,0.4,0.16,0.44,Cr44Fe40Ni16,7.44,0.5,0,0,0,0.581019997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418980003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.837960006,3.162039994,9,0,0
1121,0.4,0.18,0.42,Cr42Fe40Ni18,7.52,0.5,0,0,0,0.474380708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525619292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525619292,0.474380708,2,0,0
1122,0.4,0.2,0.4,Cr40Fe40Ni20,7.6,0.5,0,0,0,0.372235374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627764626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83E+27,6.83E+27,1.87E+28,0,0
1123,0.4,0.22,0.38,Cr38Fe40Ni22,7.68,0.5,0,0,0,0.274197423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725802577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65E+27,2.65E+27,7.24E+27,0,0
